speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
6,0,0,0,0,0,0,0,44,29,62,39
13,0,0.001000,13,1.724296,0.030335,0.228708,0.030335,94,28,53,37
18,0,13,18,24.910070,47.706749,34.472866,47.706749,83,24,52,44
23,0,18,23,30.632137,54.334572,40.796864,54.334572,83,24,52,42
28,0,23,28,36.166336,60.338913,46.714424,60.338913,83,28,53,44
33,0,28,33,41.581482,66.019470,52.394535,66.019470,126,24,56,40
37,0,33,37,45.418575,68.437958,55.752621,68.437958,83,24,53,44
42,0,37,42,50.803875,74.334755,61.453182,74.334755,87,28,53,42
44,0,42,44,51.981098,72.548927,61.409878,72.548927,87,24,53,44
43,0,44,43,49.561424,65.840691,57.124062,65.840691,87,24,53,42
41,0,43,41,46.387287,59.378498,52.482449,59.378498,79,28,53,44
39,0,41,39,43.554581,54.321568,48.641064,54.321568,83,24,53,44
32,0,39,32,35.129189,42.335472,38.564373,42.335472,83,24,52,44
23,0,32,23,24.906136,29.205416,26.970243,29.205416,87,28,53,42
20,0,23,20,21.574907,25.106537,23.273830,25.106537,87,24,53,44
21,0,20,21,22.645021,26.331741,24.418903,26.331741,87,24,53,42
25,0,21,25,27.001682,31.498686,29.163633,31.498686,79,28,53,44
29,0,25,29,31.371367,36.711685,33.936642,36.711685,134,24,53,39
35,0,29,35,37.982784,44.732616,41.219769,44.732616,83,24,53,44
40,0,35,40,43.496456,51.432976,47.298542,51.432976,87,28,52,42
43,0,40,43,46.734123,55.203339,50.792515,55.203339,87,24,53,44
46,0,43,46,49.956284,58.918907,54.252831,58.918907,87,24,53,42
49,0,46,49,53.162292,62.577606,57.678150,62.577606,79,28,53,44
51,0,49,51,55.213543,64.713737,59.775200,64.713737,83,24,52,42
53,0,51,53,57.259335,66.832413,61.860970,66.832413,83,24,53,44
55,0,53,55,59.300323,68.935959,63.936878,68.935959,87,28,52,42
57,0,55,57,61.337074,71.026344,66.004150,71.026344,87,24,52,44
59,0,57,59,63.370087,73.105309,68.063866,73.105309,87,24,53,44
61,1,59,68.063866,68.063866,78.520164,73.105309,78.520164,79,28,61,39
62,0,63.370087,62,66.289963,75.780937,70.876762,75.780937,83,24,53,42
61,0,62,61,64.987801,73.762535,69.236298,73.762535,83,24,53,42
62,0,61,62,65.931122,74.556923,70.111496,74.556923,113,37,64,37
61,0,62,61,64.679756,72.718590,68.581490,72.718590,83,24,53,44
58,0,61,58,61.275394,68.391533,64.735756,68.391533,323,26,58,39
56,0,58,56,59.009216,65.521446,62.180134,65.521446,87,28,53,41
55,0,56,55,57.850121,64.001106,60.847939,64.001106,79,24,52,44
55,0,55,55,57.779560,63.767197,60.699593,63.767197,87,24,53,41
56,0,55,56,58.786945,64.783836,61.712589,64.783836,83,28,53,44
56,0,56,56,58.720688,64.565033,61.573559,64.565033,87,24,53,41
56,0,56,56,58.658352,64.359627,61.442898,64.359627,83,24,52,46
56,0,56,56,58.599545,64.166252,61.319763,64.166252,83,28,53,44
55,0,56,55,57.477509,62.772358,60.066620,62.772358,83,24,52,42
46,0,55,46,47.880192,51.874271,49.837234,51.874271,79,24,53,42
33,0,46,33,34.203053,36.742329,35.449963,36.742329,83,28,53,44
19,0,33,19,19.631794,20.959108,20.284597,20.959108,90,24,53,42
8,1,19,20.284597,20.284597,21.656048,20.959108,21.656048,83,24,61,37
7,1,19.631794,20.959108,20.959108,22.376162,21.656048,22.376162,87,29,61,37
11,1,20.284597,21.656048,21.656048,23.120222,22.376162,23.120222,79,24,61,37
20,0,20.959108,20,20.660545,22.047806,21.342907,22.047806,90,24,53,42
28,0,20,28,28.951540,30.952730,29.935417,30.952730,83,28,53,42
35,0,28,35,36.228127,38.815178,37.499348,38.815178,83,24,53,44
41,0,35,41,42.483234,45.612617,44.020126,45.612617,83,24,52,46
46,0,41,46,47.706905,51.313076,49.477146,51.313076,87,28,53,41
51,0,46,51,52.941566,57.049263,54.957050,57.049263,79,24,52,44
55,0,51,55,57.129848,61.640175,59.342175,61.640175,90,24,53,42
59,0,55,59,61.321659,66.242645,63.734676,66.242645,83,28,53,42
60,0,59,60,62.333370,67.275871,64.757484,67.275871,83,24,53,44
62,0,60,62,64.404045,69.495399,66.901306,69.495399,83,24,52,46
64,0,62,64,66.472710,71.708427,69.040955,71.708427,87,28,53,44
66,0,64,66,68.539276,73.914673,71.176247,73.914673,79,24,52,44
67,0,66,67,69.542496,74.920593,72.181473,74.920593,90,24,53,42
68,0,67,68,70.545303,75.925285,73.185875,75.925285,84,28,53,42
68,0,68,68,70.488472,75.741959,73.068016,75.741959,83,24,53,44
68,0,68,68,70.434776,75.568993,72.956734,75.568993,83,24,52,46
68,0,68,68,70.383926,75.405441,72.851433,75.405441,83,28,53,41
69,0,68,69,71.390556,76.423012,73.863937,76.423012,134,26,53,41
68,0,69,68,70.288376,75.098740,72.653755,75.098740,87,24,53,37
67,0,68,67,69.192955,73.796547,71.457687,73.796547,87,28,52,44
66,0,67,66,68.103577,72.514008,70.274200,72.514008,79,24,53,44
66,0,66,66,68.067726,72.399544,70.200233,72.399544,83,24,52,42
68,0,66,68,70.129227,74.589767,72.325119,74.589767,83,28,53,44
68,0,68,68,70.092499,74.472656,72.249390,74.472656,87,24,53,44
68,0,68,68,70.057281,74.360451,72.176804,74.360451,87,24,53,41
68,0,68,68,70.023445,74.252762,72.107101,74.252762,94,28,52,42
67,0,68,67,68.945801,73.008560,70.948105,73.008560,79,24,53,42
65,0,67,65,66.829239,70.643593,68.709953,70.643593,83,24,52,44
63,0,65,63,64.720619,68.304123,66.488235,68.304123,83,28,53,44
61,0,63,61,62.619095,65.987350,64.281166,65.987350,87,24,53,42
59,0,61,59,60.523922,63.690872,62.087208,63.690872,79,24,53,44
55,0,59,55,56.363445,59.192577,57.760693,59.192577,90,28,53,41
46,0,55,46,47.057610,49.246342,48.139538,49.246342,83,24,53,44
37,0,46,37,37.797012,39.442913,38.611195,39.442913,83,24,53,44
30,0,37,30,30.619114,31.895937,31.251005,31.895937,83,28,53,44
27,0,30,27,27.547995,28.677576,28.107111,28.677576,87,24,53,44
27,0,27,27,27.546734,28.673637,28.104538,28.673637,83,24,53,44
29,0,27,29,29.590845,30.808893,30.193727,30.808893,90,28,53,42
31,0,29,31,31.635635,32.946274,32.284306,32.946274,83,24,53,44
31,0,31,31,31.633677,32.940155,32.280308,32.940155,83,24,53,42
30,0,31,30,30.608351,31.862309,31.229036,31.862309,83,28,53,44
29,0,30,29,29.583553,30.786123,30.178848,30.786123,87,24,52,46
30,0,29,30,30.604853,31.851389,31.221901,31.851389,80,24,53,42
32,0,30,32,32.649540,33.988441,33.312263,33.988441,90,28,52,42
33,0,32,33,33.671051,35.054367,34.355747,35.054367,83,24,53,44
33,0,33,33,33.668655,35.046883,34.350857,35.046883,87,24,52,42
35,0,33,35,35.714233,37.186726,36.443043,37.186726,79,28,52,44
35,0,35,35,35.711353,37.177727,36.437164,37.177727,83,24,53,37
35,0,35,35,35.708473,37.168732,36.431286,37.168732,83,24,53,44
34,0,35,34,34.681503,36.085766,35.376667,36.085766,87,28,53,44
33,0,34,33,33.655201,35.004887,34.323410,35.004887,87,24,53,41
34,0,33,34,34.676338,36.069645,35.366131,36.069645,83,24,53,46
37,0,34,37,37.745758,39.282677,38.506550,39.282677,83,28,53,41
39,0,37,39,39.792114,41.424938,40.600319,41.424938,83,24,52,44
43,0,39,43,43.891331,45.729801,44.801136,45.729801,83,24,53,44
45,0,43,45,45.939941,47.879135,46.899517,47.879135,79,28,52,44
49,0,45,49,50.045937,52.205261,51.114197,52.205261,90,24,53,42
52,0,49,52,53.126453,55.453098,54.277309,55.453098,83,24,53,44
55,0,52,55,56.209061,58.707500,57.444698,58.707500,87,28,53,41
56,0,55,56,57.228947,59.768341,58.484863,59.768341,79,24,53,46
59,0,56,59,60.313667,63.029404,61.656586,63.029404,83,24,53,44
61,0,59,61,62.366081,65.190712,63.762756,65.190712,83,28,53,44
63,0,61,63,64.418549,67.352180,65.869034,67.352180,90,24,53,42
63,0,63,63,64.401062,67.297356,65.833282,67.297356,83,24,52,46
64,0,63,64,65.418350,68.350044,66.868134,68.350044,87,28,53,41
63,0,64,63,64.366776,67.189934,65.763206,67.189934,79,24,52,46
63,0,63,63,64.350647,67.139427,65.730247,67.139427,83,24,52,44
64,0,63,64,65.367935,68.192146,66.765106,68.192146,83,28,53,44
64,0,64,64,65.351715,68.141396,66.731979,68.141396,90,24,53,42
64,0,64,64,65.335907,68.091957,66.699699,68.091957,83,24,53,44
64,0,64,64,65.320488,68.043762,66.668221,68.043762,87,28,53,41
