speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
0,0,0,0,0,0,0,0,54,26,62,39
0,0,0.001000,0,0,0,0,0,85,24,53,44
0,0,0,0,0,0,0,0,74,24,53,37
3,0,0,3,0,0,0,0,94,24,53,40
6,0,3,6,11.874494,46.509617,23.500599,46.509617,92,24,53,42
8,0,6,8,12.388928,29.711273,19.185694,29.711273,92,24,53,44
9,0,8,9,12.347577,23.241291,16.940296,23.241291,92,24,52,46
9,0,9,9,11.434384,18.456671,14.527239,18.456671,92,24,53,42
9,0,9,9,11.001924,16.440722,13.449147,16.440722,96,24,53,42
8,0,9,8,9.427127,13.090555,11.108840,13.090555,103,24,53,40
7,0,8,7,8.068057,10.717927,9.299078,10.717927,88,24,53,42
8,0,7,8,9.216193,12.231359,10.617277,12.231359,90,24,53,42
13,0,8,13,15.385303,21.549219,18.208275,21.549219,90,24,53,42
17,1,13,18.208275,18.208275,25.503176,21.549219,25.503176,94,24,61,42
24,1,15.385303,21.549219,21.549219,30.182623,25.503176,30.182623,96,24,61,44
30,1,18.208275,25.503176,25.503176,35.720680,30.182623,35.720680,103,24,59,42
36,1,21.549219,36,45.407211,72.238625,57.272633,72.238625,88,24,59,46
42,1,36,57.272633,57.272633,91.115402,72.238625,91.115402,90,24,59,46
47,1,45.407211,72.238625,72.238625,114.924896,91.115402,114.924896,90,24,61,44
49,1,57.272633,91.115402,91.115402,144.956085,114.924896,144.956085,94,24,61,42
48,1,72.238625,48,53.614601,66.890862,59.885948,66.890862,96,24,61,46
41,0,48,41,44.936340,53.979069,49.250603,53.979069,94,24,53,42
27,0,41,27,28.982801,33.395931,31.111214,33.395931,87,24,53,42
17,0,27,17,18.089767,20.483356,19.249393,20.483356,90,24,52,42
18,0,17,18,19.153095,21.685621,20.380058,21.685621,92,24,53,42
24,0,18,24,25.596283,29.114424,27.298737,29.114424,94,24,53,44
30,0,24,30,32.083084,36.693222,34.310810,36.693222,94,24,53,42
36,0,30,36,38.613251,44.422615,41.416199,44.422615,94,24,52,37
42,0,36,42,45.179832,52.279961,48.600410,52.279961,87,24,53,42
47,0,42,47,50.644447,58.803043,54.571491,58.803043,94,24,53,42
49,0,47,49,52.715939,61.014584,56.713676,61.014584,88,24,53,44
52,0,49,52,55.906563,64.622192,60.106609,64.622192,94,24,53,37
