speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
22,0,21,22,22.511574,23.570683,23.035042,23.570683,92,24,52,46
26,0,22,26,26.610817,27.875835,27.235983,27.875835,84,28,53,46
29,0,26,29,29.686958,31.110077,30.390188,31.110077,87,24,53,42
29,0,29,29,29.685133,31.104340,30.386452,31.104340,80,24,53,42
30,0,29,30,30.709627,32.179634,31.436039,32.179634,84,28,53,44
30,0,30,30,30.707592,32.173237,31.431873,32.173237,84,24,53,42
30,0,30,30,30.705553,32.166832,31.427700,32.166832,96,24,52,46
30,0,30,30,30.703510,32.160412,31.423519,32.160412,79,28,53,42
30,0,30,30,30.701466,32.153984,31.419333,32.153984,83,24,52,39
32,0,30,32,32.752274,34.310291,33.522232,34.310291,84,24,53,44
32,0,32,32,32.749767,34.302414,33.517101,34.302414,80,28,53,42
32,0,32,32,32.747261,34.294540,33.511971,34.294540,88,24,53,42
31,0,32,31,31.718229,33.204994,32.453098,33.204994,83,24,53,42
32,0,31,32,32.742317,34.279011,33.501854,34.279011,88,28,53,42
32,0,32,32,32.739807,34.271130,33.496719,34.271130,80,24,53,39
33,0,32,33,33.763836,35.344952,34.545349,35.344952,84,24,53,46
33,0,33,33,33.761074,35.336281,34.539700,35.336281,84,28,53,42
37,0,33,37,37.866493,39.660835,38.753281,39.660835,88,24,52,44
42,0,37,42,43.005016,45.087776,44.034084,45.087776,88,24,53,42
46,0,42,46,47.120026,49.442554,48.267323,49.442554,88,28,53,42
51,0,46,51,52.272034,54.912071,53.575794,54.912071,80,24,53,46
56,0,51,56,57.431934,60.406586,58.900486,60.406586,84,24,53,46
60,0,56,60,61.562492,64.810600,63.165672,64.810600,84,29,53,42
62,0,60,62,63.619843,66.987595,65.282005,66.987595,88,24,53,42
64,0,62,64,65.676910,69.163696,67.397758,69.163696,88,24,53,42
66,0,64,66,67.733604,71.338608,69.512741,71.338608,88,28,53,42
66,0,66,66,67.710243,71.264832,69.464806,71.264832,80,24,53,46
