"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"dazzling-sweep-225","1.2","true","2","3","3","100","100","0.00001968054260165041","0.935897435897436","0.7368421052631579","1","23.201915053334115","15.573122219174868","16.488219099089388","15.558942129635502","14.615485070642244","24.541149193851233","23.702620510790968","23.201915053334115"
"playful-sweep-554","1.2","false","2","4","2","100","50","0.000020487277357589795","0.8974358974358975","0.6363636363636364","1","24.47435569800705","13.918742541820972","15.220174289297132","14.569458415559051","13.918742541820972","28.09053066661711","26.28244318231208","24.47435569800705"
"lucky-sweep-288","1.2","true","3","4","3","200","100","0.000017338408977676638","0.935897435897436","0.7368421052631579","1","25.60953762712247","15.490565629835253","16.225405486109352","15.021473211749193","13.348448519302966","25.907872225348164","24.855886088248827","23.050248412275845"
"dauntless-sweep-611","1.2","false","3","4","2","200","50","0.00001918699522507672","0.8974358974358975","0.6363636363636364","1","23.863883671754788","13.374422321032238","14.7154406129515","14.04493146699187","13.374422321032238","25.566684995064083","24.715284333409436","23.863883671754788"
"fragrant-sweep-10","1.2","true","1","3","2","200","10","0.000023062513070344725","0.8974358974358975","0.6363636363636364","1","23.605815298299593","15.32307932271586","15.470457216574928","15.396768269645396","15.32307932271586","24.017254853195737","23.811535075747663","23.605815298299593"
"astral-sweep-922","1.2","false","3","2","4","200","10","0.00001885873907901239","0.9102564102564102","0.6666666666666666","1","23.10231541001231","13.757784276392554","16.28184727355164","15.12606526429808","13.757784276392554","24.52533282639539","23.853133766047076","23.10231541001231"
"smooth-sweep-2","1.2","true","1","2","2","100","50","0.00001708035022940698","0.8974358974358975","0.6363636363636364","1","27.791224349509974","21.79694087342101","21.79694087342101","21.79667138917601","21.79640190493101","27.791224349509974","27.64074098075563","27.490257612001297"
"comic-sweep-816","1.2","false","1","2","4","200","100","0.00001921159252443823","0.9102564102564102","0.6666666666666666","1","22.773034776547505","12.455402727558086","17.329991552417308","14.770514996456791","12.455402727558086","25.183905960736755","23.888580706477565","22.773034776547505"
"fanciful-sweep-550","1.2","false","2","3","2","200","10","0.000019689640008503297","0.8974358974358975","0.6363636363636364","1","23.90429274038631","15.046788321358814","16.908610677347557","15.977699499353186","15.046788321358814","25.216439013045633","24.56036587671597","23.90429274038631"
"deft-sweep-234","1.2","true","2","4","3","200","100","0.000018062423654155913","0.935897435897436","0.7368421052631579","1","23.797449250388453","13.70786315283837","13.70786315283837","13.52827315145385","13.400975717202716","23.797449250388453","23.476729130360045","22.865573276478315"
