"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_neighbors","weights","Energy_Consumed","accuracy","f1_score","recall","rmse_knn_pred","rmse_max","rmse_mean","rmse_min","mae_pred","mae_max","mae_mean","mae_min"
"distinctive-sweep-284","1.2","true","3","4","3","5","distance","1.8472906637826886e-7","0.935897435897436","0.7368421052631579","1","26.69087525549883","26.69087525549883","26.1215131379918","25.283622539751768","16.947592377340882","17.25654924910295","16.544435695924072","15.42916546132839"
"fine-sweep-448","1.2","true","3","4","4","10","distance","2.0711063265821397e-7","0.9102564102564102","0.6666666666666666","1","23.71774646649204","23.905564473719867","23.584825345756503","22.897759627408877","14.64228587792281","14.802576860550165","14.566091429457334","14.404116996477484"
"hopeful-sweep-379","1.2","true","2","2","4","5","uniform","2.2829832427406575e-7","0.9102564102564102","0.6666666666666666","1","27.060982647844728","27.060982647844728","26.50108585400742","25.86067617646086","16.647261558441556","18.90308064935065","18.009135844155846","16.647261558441556"
"lemon-sweep-923","1.2","false","3","2","4","15","uniform","2.550939503112204e-7","0.9102564102564102","0.6666666666666666","1","23.957844235705604","25.706828196203126","24.80982949875061","23.957844235705604","13.936080606060608","17.654606450216452","16.07502800865801","13.936080606060608"
"vocal-sweep-488","1.2","false","1","2","2","5","distance","1.9703846707443518e-7","0.8974358974358975","0.6363636363636364","1","24.95197141473874","27.420760326109512","26.18636587042413","24.95197141473874","15.418554604947516","20.017596621024424","17.71807561298597","15.418554604947516"
"clean-sweep-223","1.2","true","2","3","3","5","uniform","1.9772755596717513e-7","0.935897435897436","0.7368421052631579","1","26.788374382310845","26.788374382310845","26.47771463389653","26.17824733612432","17.416584545454544","17.416584545454544","17.048250909090914","16.729400129870136"
"skilled-sweep-554","1.2","false","2","4","2","5","distance","1.863959857205878e-7","0.8974358974358975","0.6363636363636364","1","26.17896595816326","26.36033699602159","26.269651477092427","26.17896595816326","16.327965384501407","17.19665850598319","16.7623119452423","16.327965384501407"
"fresh-sweep-118","1.2","true","3","3","2","10","distance","1.9385514260559626e-7","0.8974358974358975","0.6363636363636364","1","25.999562275244894","25.999562275244894","25.11510425614729","24.230646237049683","16.006476295921182","16.006476295921182","15.868901843144933","15.73132739036868"
"woven-sweep-336","1.2","true","1","3","4","15","distance","2.210793032776969e-7","0.9102564102564102","0.6666666666666666","1","22.93685890490239","25.1897256858687","23.607057428903673","22.63283945202839","13.896245316159272","16.405672415302664","14.99043134123186","13.896245316159272"
"leafy-sweep-273","1.2","true","3","2","3","10","uniform","1.6418234006235054e-7","0.935897435897436","0.7368421052631579","1","24.58399617262485","25.25881824927215","24.545935888451044","23.79499324345614","14.077444285714288","16.71333012987013","15.523328311688312","14.077444285714288"
"logical-sweep-59","1.2","true","2","2","2","15","uniform","1.6267412618567e-7","0.8974358974358975","0.6363636363636364","1","23.626462376278575","24.897924107667052","24.262193241972813","23.626462376278575","14.040648051948056","16.666746839826843","15.35369744588745","14.040648051948056"
"likely-sweep-120","1.2","true","3","3","2","15","distance","1.8578266588886234e-7","0.8974358974358975","0.6363636363636364","1","25.123147417405573","25.123147417405573","24.81275190560932","24.502356393813063","15.0526550715054","16.27580543355573","15.664230252530563","15.0526550715054"
"elated-sweep-877","1.2","false","2","4","4","5","uniform","1.65071090669926e-7","0.9102564102564102","0.6666666666666666","1","25.188651163775813","25.188651163775813","24.84334291015465","24.36623456762116","15.94335766233766","16.043025714285715","15.666524610389608","15.290611818181818"
"smooth-sweep-57","1.2","true","2","2","2","10","uniform","1.6112700387225234e-7","0.8974358974358975","0.6363636363636364","1","25.005767856048223","25.3853568184631","25.195562337255662","25.005767856048223","15.041954610389611","17.78116435064935","16.411559480519482","15.041954610389611"
"feasible-sweep-704","1.2","false","2","2","3","5","distance","7.419510633461515e-7","0.935897435897436","0.7368421052631579","1","24.914142155623782","28.378295180724397","26.428077167580792","24.914142155623782","15.12885189319198","19.74657241185446","17.855841207473432","15.12885189319198"
"stilted-sweep-112","1.2","true","3","2","2","10","distance","2.082051884180045e-7","0.8974358974358975","0.6363636363636364","1","23.919795848515424","23.919795848515424","23.822202413128636","23.724608977741845","14.182266190738265","17.10389733650271","15.643081763620486","14.182266190738265"
"super-sweep-608","1.2","false","3","4","2","5","distance","1.9385616651182625e-7","0.8974358974358975","0.6363636363636364","1","26.17896595816326","26.36033699602159","26.269651477092427","26.17896595816326","16.327965384501407","17.19665850598319","16.7623119452423","16.327965384501407"
