"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forecasting","Forgetting","Regularization","Energy_Consumed","accuracy","f1_score","recall","mae_pred","mae_max","mae_mean","mae_min","rmse_pred","rmse_max","rmse_mean","rmse_min"
"denim-sweep-856","1.2","false","2","4","2","1","1","3.003321753617961e-8","0.8974358974358975","0.6363636363636364","1","8.119735743004723","15.31138198519592","11.715558864100322","8.119735743004723","21.294954512222837","23.832632720262247","22.563793616242545","21.294954512222837"
"cerulean-sweep-676","1.2","true","2","4","2","0.99","1","2.957757926386269e-8","0.8974358974358975","0.6363636363636364","1","7.383782214035339","15.70610516824124","11.54494369113829","7.383782214035339","20.02289781233088","24.32074573861629","22.171821775473585","20.02289781233088"
"genial-sweep-448","1.2","true","3","3","4","0.95","1","4.2923173064713826e-8","0.9102564102564102","0.6666666666666666","1","7.509911918253548","20.141270585326957","15.46704935122246","7.509911918253548","20.971771622490557","27.26544156789691","24.408515821138614","20.971771622490557"
"swift-sweep-325","1.2","true","1","3","2","0.95","0.1","2.88557253717651e-8","0.8974358974358975","0.6363636363636364","1","5.79483138528369","16.164127650141058","10.979479517712374","5.79483138528369","15.85797989987682","26.763536324918707","21.310758112397764","15.85797989987682"
"volcanic-sweep-958","1.2","false","1","4","4","1","1","4.5024228648521287e-8","0.9102564102564102","0.6666666666666666","1","7.301407991149975","19.424767713456504","15.027984831653786","7.301407991149975","20.867286347413422","26.742817524183575","24.10862417793286","20.867286347413422"
"lively-sweep-397","1.2","true","1","3","3","0.99","0.1","3.945929828887529e-8","0.935897435897436","0.7368421052631579","1","5.854338967564758","22.36117515912867","14.686527167287688","5.854338967564758","15.83707606036204","31.05240973789832","24.619219561058276","15.83707606036204"
"proud-sweep-160","1.2","true","3","2","4","1","1","4.4413980535485584e-8","0.9102564102564102","0.6666666666666666","1","7.300201988233852","19.253251580334485","14.94683266883606","7.300201988233852","20.88625431031935","26.43656169634738","23.982283020658425","20.88625431031935"
"bright-sweep-700","1.2","true","3","4","2","1","1","3.1293646105218104e-8","0.8974358974358975","0.6363636363636364","1","8.119735743004723","15.31138198519592","11.715558864100322","8.119735743004723","21.294954512222837","23.832632720262247","22.563793616242545","21.294954512222837"
"proud-sweep-751","1.2","true","3","4","3","1","0.1","3.742377270378307e-8","0.935897435897436","0.7368421052631579","1","7.966799873903171","20.880920100932105","14.583761714385886","7.966799873903171","21.0711039924905","27.618472626999047","24.098024527139696","21.0711039924905"
"chocolate-sweep-22","1.2","true","1","2","2","0.99","1","3.0046528317168654e-8","0.8974358974358975","0.6363636363636364","1","6.077269184832756","15.927191268819094","11.002230226825924","6.077269184832756","15.96202928714198","26.409248478193284","21.185638882667632","15.96202928714198"
"eternal-sweep-901","1.2","false","1","4","3","1","0.1","4.283716494140006e-8","0.935897435897436","0.7368421052631579","1","7.966799873903171","20.880920100932105","14.583761714385886","7.966799873903171","21.0711039924905","27.618472626999047","24.098024527139696","21.0711039924905"
"ancient-sweep-199","1.2","false","1","2","2","1","0.1","3.0247213938234074e-8","0.8974358974358975","0.6363636363636364","1","8.09415002051297","15.147316852146057","11.620733436329513","8.09415002051297","21.30406718895426","23.746564311154316","22.52531575005429","21.30406718895426"
"desert-sweep-934","1.2","false","3","4","4","0.95","1","4.7072199118424074e-8","0.9102564102564102","0.6666666666666666","1","7.490732028847952","20.20265933715655","15.48276022876081","7.490732028847952","20.957294342735267","27.41269995839134","24.46418007122409","20.957294342735267"
"peach-sweep-187","1.2","false","2","2","2","0.99","0.1","3.5307358526526726e-8","0.8974358974358975","0.6363636363636364","1","8.106843232921277","15.192815763324946","11.649829498123111","8.106843232921277","21.31207560655755","23.77270640861807","22.54239100758781","21.31207560655755"
"devout-sweep-913","1.2","false","3","4","3","1","0.1","3.4332599795637484e-8","0.935897435897436","0.7368421052631579","1","7.966799873903171","20.880920100932105","14.583761714385886","7.966799873903171","21.0711039924905","27.618472626999047","24.098024527139696","21.0711039924905"
"volcanic-sweep-355","1.2","true","3","3","2","0.99","0.1","3.4162258931094894e-8","0.8974358974358975","0.6363636363636364","1","8.125711248812983","15.256569841754198","11.691140545283591","8.125711248812983","21.318041534042813","23.81384644858698","22.565943991314896","21.318041534042813"
"astral-sweep-502","1.2","false","3","3","2","0.95","1","3.004960003585843e-8","0.8974358974358975","0.6363636363636364","1","8.236041210355337","15.515957222497777","11.875999216426557","8.236041210355337","21.385985290031115","23.977948880205066","22.68196708511809","21.385985290031115"
"comic-sweep-799","1.2","true","2","4","4","1","0.1","4.462797693754005e-8","0.9102564102564102","0.6666666666666666","1","6.523362464919209","20.07441708711153","15.144117870734224","6.523362464919209","19.66462528549934","27.50664624995759","24.192058822011084","19.66462528549934"
"comfy-sweep-577","1.2","false","1","3","3","1","0.1","3.4002901989601425e-8","0.935897435897436","0.7368421052631579","1","7.950648299323879","20.73159882342582","14.496941323585512","7.950648299323879","21.089291266138375","27.517674443292265","24.06334887710336","21.089291266138375"
"denim-sweep-835","1.2","false","2","4","2","0.99","0.1","3.0057791285697834e-8","0.8974358974358975","0.6363636363636364","1","8.125814118012554","15.35087027766765","11.7383421978401","8.125814118012554","21.29893106964895","23.852105664759694","22.575518367204324","21.29893106964895"
"lemon-sweep-313","1.2","false","2","2","4","1","0.1","3.847942002683643e-8","0.9102564102564102","0.6666666666666666","1","7.299894736925719","19.25329515503684","14.946115268756644","7.299894736925719","20.88579583865059","26.43669861856451","23.981840344634502","20.88579583865059"
"dauntless-sweep-733","1.2","true","3","4","3","0.99","0.1","4.4309542100033166e-8","0.935897435897436","0.7368421052631579","1","7.991918517794754","20.960602780625496","14.634102745191186","7.991918517794754","21.08233398292623","27.674550793665112","24.1293412765757","21.08233398292623"
"sweet-sweep-943","1.2","false","2","4","4","0.99","0.1","4.4165171321613656e-8","0.9102564102564102","0.6666666666666666","1","7.327149982669178","19.55386317358105","15.10145752925296","7.327149982669178","20.88248516938228","26.85099966574582","24.166661154819927","20.88248516938228"
"graceful-sweep-514","1.2","false","2","3","2","0.99","1","3.5114864155300695e-8","0.8974358974358975","0.6363636363636364","1","8.125124304861934","15.255850566703742","11.690487435782838","8.125124304861934","21.317609541076543","23.81294904891523","22.56527929499589","21.317609541076543"
"lilac-sweep-358","1.2","true","3","3","2","0.99","1","3.0487831902266606e-8","0.8974358974358975","0.6363636363636364","1","8.125124304861934","15.255850566703742","11.690487435782838","8.125124304861934","21.317609541076543","23.81294904891523","22.56527929499589","21.317609541076543"
"splendid-sweep-466","1.2","true","3","3","4","0.99","1","4.3118739154629627e-8","0.9102564102564102","0.6666666666666666","1","7.32588539828265","19.46734974246092","15.060391844102783","7.32588539828265","20.89281912221758","26.674262321356345","24.0947112103553","20.89281912221758"
"warm-sweep-229","1.2","false","3","2","3","0.95","0.1","4.433206803709153e-8","0.935897435897436","0.7368421052631579","1","7.803144840415832","20.76079604059911","14.486926356640804","7.803144840415832","21.08890265057722","27.617920432072964","24.11910613526696","21.08890265057722"
"tough-sweep-865","1.2","false","1","4","3","0.95","0.1","3.8689320803971194e-8","0.935897435897436","0.7368421052631579","1","8.153921139871976","21.43138741860666","14.937197740100151","8.153921139871976","21.17294538159884","28.01469819979559","24.332517217116244","21.17294538159884"
"honest-sweep-730","1.2","true","2","4","3","0.99","1","3.7417629266403524e-8","0.935897435897436","0.7368421052631579","1","7.241706629381278","21.17906659878341","14.57156013116726","7.241706629381278","19.75177836121812","28.107006307944697","24.01747693566557","19.75177836121812"
"deft-sweep-256","1.2","false","1","2","3","1","1","3.144927985216681e-8","0.935897435897436","0.7368421052631579","1","7.597376469865042","20.152017199296683","14.100413714975602","7.597376469865042","20.978548968351728","27.1779758750913","23.85945820006422","20.978548968351728"
"jolly-sweep-391","1.2","true","3","3","3","0.95","0.1","3.574354258047505e-8","0.935897435897436","0.7368421052631579","1","8.148510831983033","21.336827516438664","14.878224801143588","8.148510831983033","21.200344688973335","27.960090852609973","24.324843178019385","21.200344688973335"
"fallen-sweep-487","1.2","false","1","3","2","0.95","0.1","3.024311831331437e-8","0.8974358974358975","0.6363636363636364","1","8.236617437649105","15.51661224626604","11.876614841957572","8.236617437649105","21.38638353690656","23.978768407213437","22.68257597206","21.38638353690656"
"dandy-sweep-34","1.2","true","3","2","2","0.99","1","2.9317507081461577e-8","0.8974358974358975","0.6363636363636364","1","8.10626737260585","15.192184288769354","11.649225830687602","8.10626737260585","21.311662614585153","23.771850069416796","22.541756342000973","21.311662614585153"
"whole-sweep-409","1.2","true","3","3","3","0.99","0.1","5.660358420275063e-8","0.935897435897436","0.7368421052631579","1","7.976070318914006","20.824491051900647","14.552844903284466","7.976070318914006","21.102708176390607","27.58247629742165","24.09999220854345","21.102708176390607"
"laced-sweep-484","1.2","true","3","3","4","1","1","4.3004061656877944e-8","0.9102564102564102","0.6666666666666666","1","7.28736816261395","19.33528821710994","14.981877288760506","7.28736816261395","20.876138386411405","26.561164891075062","24.033256675625154","20.876138386411405"
"misty-sweep-826","1.2","false","3","4","2","0.95","1","3.7582095887576853e-8","0.8974358974358975","0.6363636363636364","1","8.23538442949781","15.582867478319066","11.909125953908438","8.23538442949781","21.3578006332343","23.99838053343942","22.67809058333686","21.3578006332343"
"brisk-sweep-628","1.2","false","3","3","4","0.99","1","4.7806181875229324e-8","0.9102564102564102","0.6666666666666666","1","7.32588539828265","19.46734974246092","15.060391844102783","7.32588539828265","20.89281912221758","26.674262321356345","24.0947112103553","20.89281912221758"
"spring-sweep-781","1.2","true","2","4","4","0.99","0.1","5.213320960289518e-8","0.9102564102564102","0.6666666666666666","1","6.551264407422931","20.211506352872316","15.22008958950883","6.551264407422931","19.66577928413625","27.634828154701655","24.255148697099493","19.66577928413625"
"brisk-sweep-637","1.2","false","2","3","4","1","0.1","4.295081853292182e-8","0.9102564102564102","0.6666666666666666","1","7.2872860494538365","19.335792135053072","14.981446474042126","7.2872860494538365","20.87574927345498","26.561542219687873","24.032956636128716","20.87574927345498"
"gentle-sweep-76","1.2","true","1","2","3","0.99","1","3.861457564918662e-8","0.935897435897436","0.7368421052631579","1","5.857170345281492","21.65530441336217","14.365739844723182","5.857170345281492","15.877167233005816","30.397642598540365","24.233624279795283","15.877167233005816"
"legendary-sweep-586","1.2","false","2","3","3","1","1","3.4299834796279874e-8","0.935897435897436","0.7368421052631579","1","7.949428114924425","20.72921317700726","14.495314924716885","7.949428114924425","21.088559629363264","27.513588067643347","24.06119002048656","21.088559629363264"
"clean-sweep-739","1.2","true","1","4","3","1","0.1","3.825371491605741e-8","0.935897435897436","0.7368421052631579","1","5.830280312958916","22.50938260253926","14.750668965980234","5.830280312958916","15.818989021010127","31.217257965452696","24.69198972599871","15.818989021010127"
"worthy-sweep-385","1.2","true","2","3","3","0.95","0.1","3.5345243057033975e-8","0.935897435897436","0.7368421052631579","1","7.4060915105269824","21.53088602106273","14.807042820939108","7.4060915105269824","19.79689451280432","28.488116234799545","24.23715935395978","19.79689451280432"
"glad-sweep-37","1.2","true","1","2","2","1","0.1","3.441860791895124e-8","0.8974358974358975","0.6363636363636364","1","6.072545848410256","15.883700873577132","10.978123360993695","6.072545848410256","15.967658837383675","26.376692756306536","21.172175796845107","15.967658837383675"
"whole-sweep-241","1.2","false","2","2","3","0.99","0.1","3.5577390993037426e-8","0.935897435897436","0.7368421052631579","1","7.630254651622105","20.250942957854303","14.163197659929535","7.630254651622105","20.99541954928054","27.250052446216923","23.901110469856405","20.99541954928054"
"bright-sweep-595","1.2","false","1","3","4","0.95","0.1","4.0846691230424566e-8","0.9102564102564102","0.6666666666666666","1","7.509909018344361","20.14172985021049","15.466712196940618","7.509909018344361","20.9714447532326","27.26578890216726","24.40825826365453","20.9714447532326"
"daily-sweep-379","1.2","true","1","3","3","0.95","0.1","4.3679564061120704e-8","0.935897435897436","0.7368421052631579","1","5.89143511957334","22.85981872378277","14.93354412707174","5.89143511957334","15.823359438256649","31.44622569120301","24.82234906639286","15.823359438256649"
"winter-sweep-295","1.2","false","2","2","4","0.99","0.1","4.294979462669188e-8","0.9102564102564102","0.6666666666666666","1","7.341528557801169","19.39130717259294","15.027523916703968","7.341528557801169","20.90292454189416","26.55447365263171","24.04547836464384","20.90292454189416"
"firm-sweep-517","1.2","false","3","3","2","0.99","0.1","2.9897038007599505e-8","0.8974358974358975","0.6363636363636364","1","8.125711248812983","15.256569841754198","11.691140545283591","8.125711248812983","21.318041534042813","23.81384644858698","22.565943991314896","21.318041534042813"
"genial-sweep-808","1.2","true","3","4","4","1","1","4.517167114563057e-8","0.9102564102564102","0.6666666666666666","1","7.301407991149975","19.424767713456504","15.027984831653786","7.301407991149975","20.867286347413422","26.742817524183575","24.10862417793286","20.867286347413422"
"smooth-sweep-460","1.2","true","2","3","4","0.99","1","4.4330020224631675e-8","0.9102564102564102","0.6666666666666666","1","6.564728628765644","20.1062825185322","15.166125072469722","6.564728628765644","19.649792872795107","27.442149267673887","24.16409553853519","19.649792872795107"
"summer-sweep-598","1.2","false","1","3","4","0.95","1","3.8279758312000925e-8","0.9102564102564102","0.6666666666666666","1","7.509911918253548","20.141270585326957","15.46704935122246","7.509911918253548","20.971771622490557","27.26544156789691","24.408515821138614","20.971771622490557"
"rural-sweep-622","1.2","false","2","3","4","0.99","1","4.3589736020395426e-8","0.9102564102564102","0.6666666666666666","1","7.32588539828265","19.46734974246092","15.060391844102783","7.32588539828265","20.89281912221758","26.674262321356345","24.0947112103553","20.89281912221758"
"vibrant-sweep-205","1.2","false","2","2","2","1","0.1","3.0299433155960293e-8","0.8974358974358975","0.6363636363636364","1","8.09415002051297","15.147316852146057","11.620733436329513","8.09415002051297","21.30406718895426","23.746564311154316","22.52531575005429","21.30406718895426"
"different-sweep-889","1.2","false","2","4","3","0.99","0.1","4.0756587482191104e-8","0.935897435897436","0.7368421052631579","1","7.991918517794754","20.960602780625496","14.634102745191186","7.991918517794754","21.08233398292623","27.674550793665112","24.1293412765757","21.08233398292623"
"honest-sweep-793","1.2","true","1","4","4","1","0.1","4.1371509386181075e-8","0.9102564102564102","0.6666666666666666","1","5.185813960370992","22.498365051909524","16.14952512367673","5.185813960370992","15.58113208480532","31.209473526317588","25.67110597782477","15.58113208480532"
"laced-sweep-592","1.2","false","3","3","3","1","1","3.96794381283093e-8","0.935897435897436","0.7368421052631579","1","7.949428114924425","20.72921317700726","14.495314924716885","7.949428114924425","21.088559629363264","27.513588067643347","24.06119002048656","21.088559629363264"
